epoch,P4,P6,P8,P10,P12
1,5744,4080,7280,2144,2656
2,5744,4080,7280,2144,2656
1,4368,5456,7280,3168,1632
2,4368,5456,7280,3168,1632
3,4368,5456,7280,3168,1632
4,4368,5456,7280,3168,1632
5,4368,5456,7280,3168,1632
6,4368,5456,7280,3168,1632
7,4368,5456,7280,3168,1632
8,4368,5456,7280,3168,1632
9,4368,5456,7280,3168,1632
10,4368,5456,7280,3168,1632
11,4368,5456,7280,3168,1632
12,4368,5456,7280,3168,1632
13,4368,5456,7280,3168,1632
14,4368,5456,7280,3168,1632
15,4368,5456,7280,3168,1632
16,4368,5456,7280,3168,1632
17,4368,5456,7280,3168,1632
18,4368,5456,7280,3168,1632
19,4368,5456,7280,3168,1632
20,4368,5456,7280,3168,1632
21,4368,5456,7280,3168,1632
22,4368,5456,7280,3168,1632
23,4368,5456,7280,3168,1632
24,4368,5456,7280,3168,1632
25,4368,5456,7280,3168,1632
26,4368,5456,7280,3168,1632
27,4368,5456,7280,3168,1632
28,4368,5456,7280,3168,1632
29,4368,5456,7280,3168,1632
30,4368,5456,7280,3168,1632
31,4368,5456,7280,3168,1632
32,4368,5456,7280,3168,1632
33,4368,5456,7280,3168,1632
34,4368,5456,7280,3168,1632
35,4368,5456,7280,3168,1632
36,4368,5456,7280,3168,1632
37,4368,5456,7280,3168,1632
38,4368,5456,7280,3168,1632
39,4368,5456,7280,3168,1632
40,4368,5456,7280,3168,1632
41,4368,5456,7280,3168,1632
42,4368,5456,7280,3168,1632
43,4368,5456,7280,3168,1632
44,4368,5456,7280,3168,1632
45,4368,5456,7280,3168,1632
46,4368,5456,7280,3168,1632
47,4368,5456,7280,3168,1632
48,4368,5456,7280,3168,1632
49,4368,5456,7280,3168,1632
50,4368,5456,7280,3168,1632
51,4368,5456,7280,3168,1632
52,4368,5456,7280,3168,1632
53,4368,5456,7280,3168,1632
54,4368,5456,7280,3168,1632
55,4368,5456,7280,3168,1632
56,4368,5456,7280,3168,1632
57,4368,5456,7280,3168,1632
58,4368,5456,7280,3168,1632
59,4368,5456,7280,3168,1632
60,4368,5456,7280,3168,1632
61,4368,5456,7280,3168,1632
62,4368,5456,7280,3168,1632
63,4368,5456,7280,3168,1632
64,4368,5456,7280,3168,1632
65,4368,5456,7280,3168,1632
66,4368,5456,7280,3168,1632
67,4368,5456,7280,3168,1632
68,4368,5456,7280,3168,1632
69,4368,5456,7280,3168,1632
70,4368,5456,7280,3168,1632
71,4368,5456,7280,3168,1632
72,4368,5456,7280,3168,1632
73,4368,5456,7280,3168,1632
74,4368,5456,7280,3168,1632
75,4368,5456,7280,3168,1632
76,4368,5456,7280,3168,1632
77,4368,5456,7280,3168,1632
78,4368,5456,7280,3168,1632
79,4368,5456,7280,3168,1632
80,4368,5456,7280,3168,1632
81,4368,5456,7280,3168,1632
82,4368,5456,7280,3168,1632
83,4368,5456,7280,3168,1632
84,4368,5456,7280,3168,1632
