epoch,mean,std,frac_edge,frac_center,radius
1,0.028973,0.011457,0.000000,1.000000,2.000000
2,0.031428,0.013248,0.000000,1.000000,2.000000
1,0.028974,0.011469,0.000000,1.000000,2.000000
2,0.031702,0.013233,0.000000,1.000000,2.000000
3,0.034611,0.022601,0.000000,1.000000,2.000000
4,0.043631,0.033583,0.000000,1.000000,2.000000
5,0.063044,0.047659,0.000000,1.000000,2.000000
6,0.084905,0.059060,0.000000,1.000000,2.000000
7,0.111387,0.074819,0.000000,0.916667,2.000000
8,0.135085,0.092582,0.000000,0.708333,2.000000
9,0.162659,0.108001,0.000000,0.500000,2.000000
10,0.196943,0.124727,0.000000,0.500000,2.000000
11,0.224180,0.143723,0.000000,0.416667,2.000000
12,0.244239,0.159589,0.000000,0.416667,2.000000
13,0.267372,0.172704,0.000000,0.416667,2.000000
14,0.287129,0.183741,0.000000,0.375000,2.000000
15,0.307400,0.194192,0.000000,0.333333,2.000000
16,0.325913,0.201966,0.000000,0.333333,2.000000
17,0.342505,0.209706,0.000000,0.250000,2.000000
18,0.359565,0.217059,0.000000,0.250000,2.000000
19,0.373800,0.225183,0.000000,0.208333,2.000000
20,0.385556,0.234125,0.000000,0.208333,2.000000
21,0.401478,0.240269,0.000000,0.208333,2.000000
22,0.415592,0.245453,0.000000,0.208333,2.000000
23,0.427435,0.250000,0.000000,0.208333,2.000000
24,0.438765,0.253644,0.000000,0.208333,2.000000
25,0.451157,0.258296,0.000000,0.208333,2.000000
26,0.463716,0.262563,0.000000,0.208333,2.000000
27,0.474958,0.267133,0.000000,0.208333,2.000000
28,0.484842,0.269936,0.000000,0.208333,2.000000
29,0.492815,0.273479,0.000000,0.208333,2.000000
30,0.503295,0.275309,0.000000,0.208333,2.000000
31,0.512852,0.278649,0.000000,0.208333,2.000000
32,0.520521,0.280712,0.000000,0.208333,2.000000
33,0.529561,0.282443,0.000000,0.208333,2.000000
34,0.536036,0.284352,0.000000,0.208333,2.000000
35,0.542209,0.287020,0.000000,0.208333,2.000000
36,0.549547,0.290445,0.000000,0.208333,2.000000
37,0.556231,0.294489,0.000000,0.166667,2.000000
38,0.561701,0.298048,0.000000,0.166667,2.000000
39,0.568340,0.300700,0.000000,0.166667,2.000000
40,0.575251,0.303178,0.000000,0.125000,2.000000
41,0.581248,0.304572,0.000000,0.125000,2.000000
42,0.587257,0.306270,0.000000,0.125000,2.000000
43,0.593456,0.307344,0.000000,0.125000,2.000000
44,0.599597,0.310513,0.000000,0.125000,2.000000
45,0.603499,0.313082,0.000000,0.125000,2.000000
46,0.608111,0.316677,0.000000,0.125000,2.000000
47,0.611403,0.318119,0.000000,0.125000,2.000000
48,0.616252,0.320693,0.000000,0.125000,2.000000
49,0.621176,0.322140,0.000000,0.125000,2.000000
50,0.625433,0.325153,0.000000,0.125000,2.000000
51,0.628427,0.325200,0.000000,0.125000,2.000000
52,0.633801,0.327336,0.000000,0.125000,2.000000
53,0.639370,0.328442,0.000000,0.125000,2.000000
54,0.644262,0.329851,0.000000,0.125000,2.000000
55,0.648649,0.332043,0.000000,0.125000,2.000000
56,0.653000,0.336008,0.000000,0.125000,2.000000
57,0.656186,0.338482,0.000000,0.125000,2.000000
58,0.661110,0.341278,0.000000,0.125000,2.000000
59,0.664786,0.343538,0.000000,0.125000,2.000000
60,0.669841,0.346016,0.000000,0.125000,2.000000
61,0.673561,0.346133,0.000000,0.125000,2.000000
62,0.679676,0.350435,0.000000,0.125000,2.000000
63,0.683112,0.351953,0.000000,0.125000,2.000000
64,0.686607,0.353916,0.000000,0.125000,2.000000
65,0.692279,0.354117,0.000000,0.125000,2.000000
66,0.697771,0.357919,0.000000,0.125000,2.000000
67,0.703369,0.359243,0.000000,0.125000,2.000000
68,0.705469,0.362766,0.000000,0.125000,2.000000
69,0.711991,0.364735,0.000000,0.125000,2.000000
70,0.716875,0.366287,0.000000,0.125000,2.000000
71,0.721483,0.368304,0.000000,0.125000,2.000000
72,0.725816,0.371676,0.000000,0.125000,2.000000
73,0.731506,0.373309,0.000000,0.125000,2.000000
74,0.734959,0.375667,0.000000,0.125000,2.000000
75,0.738995,0.376657,0.000000,0.125000,2.000000
76,0.742323,0.378340,0.000000,0.125000,2.000000
77,0.744918,0.380701,0.000000,0.125000,2.000000
78,0.748848,0.382942,0.000000,0.125000,2.000000
