Per-epoch status lines (alpha/tau/alive_hard/guards/time):
Epoch 1: Current Alpha: 1.5000, Tau: 3.0000, Alive(hard): 0.232, guards=0, time=1.82s
Epoch 2: Current Alpha: 1.5000, Tau: 3.0000, Alive(hard): 0.231, guards=0, time=0.85s
Epoch 3: Current Alpha: 1.4999, Tau: 2.9999, Alive(hard): 0.230, guards=0, time=0.86s
Epoch 4: Current Alpha: 1.4999, Tau: 2.9998, Alive(hard): 0.231, guards=0, time=0.86s
Epoch 5: Current Alpha: 1.4998, Tau: 2.9996, Alive(hard): 0.231, guards=0, time=0.88s
Epoch 6: Current Alpha: 1.4996, Tau: 2.9994, Alive(hard): 0.231, guards=0, time=0.86s
Epoch 7: Current Alpha: 1.4995, Tau: 2.9992, Alive(hard): 0.232, guards=0, time=0.85s
Epoch 8: Current Alpha: 1.4993, Tau: 2.9989, Alive(hard): 0.230, guards=0, time=0.87s
Epoch 9: Current Alpha: 1.4991, Tau: 2.9986, Alive(hard): 0.230, guards=0, time=0.86s
Epoch 10: Current Alpha: 1.4988, Tau: 2.9982, Alive(hard): 0.230, guards=0, time=0.80s
Epoch 11: Current Alpha: 1.4986, Tau: 2.9978, Alive(hard): 0.231, guards=0, time=0.86s
Epoch 12: Current Alpha: 1.4983, Tau: 2.9973, Alive(hard): 0.229, guards=0, time=0.87s
Epoch 13: Current Alpha: 1.4979, Tau: 2.9968, Alive(hard): 0.231, guards=0, time=0.86s
Epoch 14: Current Alpha: 1.4976, Tau: 2.9962, Alive(hard): 0.229, guards=0, time=0.86s
Epoch 15: Current Alpha: 1.4972, Tau: 2.9956, Alive(hard): 0.232, guards=0, time=0.86s
Epoch 16: Current Alpha: 1.4968, Tau: 2.9950, Alive(hard): 0.233, guards=0, time=0.85s
Epoch 17: Current Alpha: 1.4964, Tau: 2.9943, Alive(hard): 0.229, guards=0, time=0.86s
Epoch 18: Current Alpha: 1.4959, Tau: 2.9936, Alive(hard): 0.236, guards=0, time=0.84s
Epoch 19: Current Alpha: 1.4954, Tau: 2.9928, Alive(hard): 0.238, guards=0, time=0.77s
Epoch 20: Current Alpha: 1.4949, Tau: 2.9920, Alive(hard): 0.239, guards=0, time=0.77s
Epoch 21: Current Alpha: 1.4943, Tau: 2.9911, Alive(hard): 0.237, guards=0, time=0.83s
Epoch 22: Current Alpha: 1.4937, Tau: 2.9902, Alive(hard): 0.235, guards=0, time=0.85s
Epoch 23: Current Alpha: 1.4931, Tau: 2.9892, Alive(hard): 0.240, guards=0, time=0.85s
Epoch 24: Current Alpha: 1.4925, Tau: 2.9882, Alive(hard): 0.253, guards=0, time=0.85s
Epoch 25: Current Alpha: 1.4918, Tau: 2.9872, Alive(hard): 0.255, guards=0, time=0.85s
Epoch 26: Current Alpha: 1.4911, Tau: 2.9861, Alive(hard): 0.254, guards=0, time=0.85s
Epoch 27: Current Alpha: 1.4904, Tau: 2.9850, Alive(hard): 0.258, guards=0, time=0.85s
Epoch 28: Current Alpha: 1.4896, Tau: 2.9838, Alive(hard): 0.260, guards=0, time=0.83s
Epoch 29: Current Alpha: 1.4888, Tau: 2.9826, Alive(hard): 0.261, guards=0, time=0.82s
Epoch 30: Current Alpha: 1.4880, Tau: 2.9813, Alive(hard): 0.260, guards=0, time=0.85s
Epoch 31: Current Alpha: 1.4872, Tau: 2.9800, Alive(hard): 0.260, guards=0, time=0.85s
Epoch 32: Current Alpha: 1.4863, Tau: 2.9786, Alive(hard): 0.260, guards=0, time=0.86s
Epoch 33: Current Alpha: 1.4854, Tau: 2.9772, Alive(hard): 0.260, guards=0, time=0.86s
Epoch 34: Current Alpha: 1.4845, Tau: 2.9758, Alive(hard): 0.264, guards=0, time=0.84s
Epoch 35: Current Alpha: 1.4836, Tau: 2.9743, Alive(hard): 0.265, guards=0, time=0.86s
Epoch 36: Current Alpha: 1.4826, Tau: 2.9728, Alive(hard): 0.261, guards=0, time=0.84s
Epoch 37: Current Alpha: 1.4816, Tau: 2.9712, Alive(hard): 0.262, guards=0, time=0.86s
Epoch 38: Current Alpha: 1.4806, Tau: 2.9696, Alive(hard): 0.267, guards=0, time=0.86s
Epoch 39: Current Alpha: 1.4795, Tau: 2.9680, Alive(hard): 0.267, guards=0, time=0.86s
Epoch 40: Current Alpha: 1.4784, Tau: 2.9663, Alive(hard): 0.267, guards=0, time=0.84s
Epoch 41: Current Alpha: 1.4773, Tau: 2.9645, Alive(hard): 0.267, guards=0, time=0.86s
Epoch 42: Current Alpha: 1.4761, Tau: 2.9627, Alive(hard): 0.267, guards=0, time=0.85s
Epoch 43: Current Alpha: 1.4750, Tau: 2.9609, Alive(hard): 0.266, guards=0, time=0.85s
Epoch 44: Current Alpha: 1.4738, Tau: 2.9590, Alive(hard): 0.266, guards=0, time=0.86s
Epoch 45: Current Alpha: 1.4726, Tau: 2.9571, Alive(hard): 0.269, guards=0, time=0.85s
Epoch 46: Current Alpha: 1.4713, Tau: 2.9552, Alive(hard): 0.269, guards=0, time=0.81s
Epoch 47: Current Alpha: 1.4700, Tau: 2.9532, Alive(hard): 0.267, guards=0, time=0.77s
Epoch 48: Current Alpha: 1.4687, Tau: 2.9511, Alive(hard): 0.266, guards=0, time=0.85s
Epoch 49: Current Alpha: 1.4674, Tau: 2.9490, Alive(hard): 0.266, guards=0, time=0.84s
Epoch 50: Current Alpha: 1.4660, Tau: 2.9469, Alive(hard): 0.264, guards=0, time=0.86s
Epoch 51: Current Alpha: 1.4646, Tau: 2.9447, Alive(hard): 0.264, guards=0, time=0.87s
Epoch 52: Current Alpha: 1.4632, Tau: 2.9425, Alive(hard): 0.264, guards=0, time=0.85s
Epoch 53: Current Alpha: 1.4618, Tau: 2.9402, Alive(hard): 0.264, guards=0, time=0.85s
