epoch,mean,std,frac_edge,frac_center,radius
1,0.029087,0.012446,0.000000,1.000000,2.000000
2,0.031052,0.015541,0.000000,1.000000,2.000000
3,0.037393,0.023240,0.000000,1.000000,2.000000
4,0.051375,0.033900,0.000000,1.000000,2.000000
5,0.073609,0.043598,0.000000,1.000000,2.000000
6,0.098551,0.055719,0.000000,1.000000,2.000000
7,0.126721,0.063572,0.000000,0.916667,2.000000
8,0.155873,0.070919,0.000000,0.666667,2.000000
9,0.188498,0.083691,0.000000,0.500000,2.000000
10,0.219047,0.095052,0.000000,0.458333,2.000000
11,0.246274,0.109480,0.000000,0.375000,2.000000
12,0.272263,0.124193,0.000000,0.291667,2.000000
13,0.292238,0.139602,0.000000,0.291667,2.000000
14,0.317004,0.152709,0.000000,0.291667,2.000000
15,0.332422,0.165031,0.000000,0.291667,2.000000
16,0.350453,0.176010,0.000000,0.291667,2.000000
17,0.363512,0.185142,0.000000,0.333333,2.000000
18,0.377192,0.195462,0.000000,0.333333,2.000000
19,0.391463,0.204452,0.000000,0.333333,2.000000
20,0.403878,0.214214,0.000000,0.291667,2.000000
21,0.412706,0.222072,0.000000,0.208333,2.000000
22,0.425456,0.226737,0.000000,0.208333,2.000000
23,0.435442,0.232560,0.000000,0.208333,2.000000
24,0.447841,0.239089,0.000000,0.208333,2.000000
25,0.458906,0.246086,0.000000,0.208333,2.000000
26,0.468275,0.250074,0.000000,0.208333,2.000000
27,0.475367,0.257146,0.000000,0.208333,2.000000
28,0.483172,0.262835,0.000000,0.208333,2.000000
29,0.492314,0.266722,0.000000,0.208333,2.000000
30,0.503057,0.271101,0.000000,0.208333,2.000000
31,0.513563,0.274885,0.000000,0.208333,2.000000
32,0.521922,0.278387,0.000000,0.208333,2.000000
33,0.530590,0.279794,0.000000,0.208333,2.000000
34,0.539216,0.283694,0.000000,0.208333,2.000000
35,0.546205,0.288317,0.000000,0.208333,2.000000
36,0.557240,0.290471,0.000000,0.208333,2.000000
37,0.565408,0.293535,0.000000,0.208333,2.000000
38,0.572804,0.295138,0.000000,0.208333,2.000000
39,0.579834,0.297954,0.000000,0.208333,2.000000
40,0.587950,0.299462,0.000000,0.125000,2.000000
41,0.593797,0.302621,0.000000,0.125000,2.000000
42,0.600768,0.304588,0.000000,0.125000,2.000000
43,0.607271,0.305844,0.000000,0.125000,2.000000
44,0.614277,0.309153,0.000000,0.125000,2.000000
45,0.619504,0.311475,0.000000,0.125000,2.000000
46,0.628593,0.312948,0.000000,0.125000,2.000000
47,0.634849,0.315125,0.000000,0.125000,2.000000
48,0.642021,0.315868,0.000000,0.125000,2.000000
49,0.649517,0.316074,0.000000,0.125000,2.000000
50,0.655536,0.317884,0.000000,0.125000,2.000000
51,0.662269,0.319078,0.000000,0.125000,2.000000
52,0.668947,0.321880,0.000000,0.125000,2.000000
53,0.675533,0.323630,0.000000,0.083333,2.000000
54,0.682179,0.324345,0.000000,0.083333,2.000000
55,0.687624,0.325918,0.000000,0.083333,2.000000
56,0.694252,0.328434,0.000000,0.083333,2.000000
57,0.699806,0.328982,0.000000,0.083333,2.000000
