Per-epoch status lines (alpha/tau/alive_hard/guards/time):
Epoch 1: Current Alpha: 1.5000, Tau: 3.0000, Alive(hard): 0.449, guards=0, time=1.98s
Epoch 2: Current Alpha: 1.5000, Tau: 3.0000, Alive(hard): 0.446, guards=0, time=1.38s
Epoch 3: Current Alpha: 1.4999, Tau: 2.9999, Alive(hard): 0.447, guards=0, time=1.36s
Epoch 4: Current Alpha: 1.4999, Tau: 2.9998, Alive(hard): 0.447, guards=0, time=1.36s
Epoch 5: Current Alpha: 1.4998, Tau: 2.9996, Alive(hard): 0.446, guards=0, time=1.37s
Epoch 6: Current Alpha: 1.4996, Tau: 2.9994, Alive(hard): 0.450, guards=0, time=1.35s
Epoch 7: Current Alpha: 1.4995, Tau: 2.9992, Alive(hard): 0.445, guards=0, time=1.34s
Epoch 8: Current Alpha: 1.4993, Tau: 2.9989, Alive(hard): 0.433, guards=0, time=1.36s
Epoch 9: Current Alpha: 1.4991, Tau: 2.9986, Alive(hard): 0.436, guards=0, time=1.37s
Epoch 10: Current Alpha: 1.4988, Tau: 2.9982, Alive(hard): 0.437, guards=0, time=1.35s
Epoch 11: Current Alpha: 1.4986, Tau: 2.9978, Alive(hard): 0.427, guards=0, time=1.37s
Epoch 12: Current Alpha: 1.4983, Tau: 2.9973, Alive(hard): 0.430, guards=0, time=1.35s
Epoch 13: Current Alpha: 1.4979, Tau: 2.9968, Alive(hard): 0.433, guards=0, time=1.30s
Epoch 14: Current Alpha: 1.4976, Tau: 2.9962, Alive(hard): 0.430, guards=0, time=1.36s
Epoch 15: Current Alpha: 1.4972, Tau: 2.9956, Alive(hard): 0.428, guards=0, time=1.32s
Epoch 16: Current Alpha: 1.4968, Tau: 2.9950, Alive(hard): 0.431, guards=0, time=1.36s
Epoch 17: Current Alpha: 1.4964, Tau: 2.9943, Alive(hard): 0.426, guards=0, time=1.35s
Epoch 18: Current Alpha: 1.4959, Tau: 2.9936, Alive(hard): 0.428, guards=0, time=1.33s
Epoch 19: Current Alpha: 1.4954, Tau: 2.9928, Alive(hard): 0.427, guards=0, time=1.36s
Epoch 20: Current Alpha: 1.4949, Tau: 2.9920, Alive(hard): 0.429, guards=0, time=1.37s
Epoch 21: Current Alpha: 1.4943, Tau: 2.9911, Alive(hard): 0.429, guards=0, time=1.34s
Epoch 22: Current Alpha: 1.4937, Tau: 2.9902, Alive(hard): 0.433, guards=0, time=1.35s
Epoch 23: Current Alpha: 1.4931, Tau: 2.9892, Alive(hard): 0.430, guards=0, time=1.37s
Epoch 24: Current Alpha: 1.4925, Tau: 2.9882, Alive(hard): 0.430, guards=0, time=1.35s
Epoch 25: Current Alpha: 1.4918, Tau: 2.9872, Alive(hard): 0.433, guards=0, time=1.37s
Epoch 26: Current Alpha: 1.4911, Tau: 2.9861, Alive(hard): 0.431, guards=0, time=1.36s
Epoch 27: Current Alpha: 1.4904, Tau: 2.9850, Alive(hard): 0.433, guards=0, time=1.35s
Epoch 28: Current Alpha: 1.4896, Tau: 2.9838, Alive(hard): 0.430, guards=0, time=1.38s
Epoch 29: Current Alpha: 1.4888, Tau: 2.9826, Alive(hard): 0.426, guards=0, time=1.44s
Epoch 30: Current Alpha: 1.4880, Tau: 2.9813, Alive(hard): 0.427, guards=0, time=1.37s
Epoch 31: Current Alpha: 1.4872, Tau: 2.9800, Alive(hard): 0.429, guards=0, time=1.36s
Epoch 32: Current Alpha: 1.4863, Tau: 2.9786, Alive(hard): 0.426, guards=0, time=1.39s
Epoch 33: Current Alpha: 1.4854, Tau: 2.9772, Alive(hard): 0.426, guards=0, time=1.34s
Epoch 34: Current Alpha: 1.4845, Tau: 2.9758, Alive(hard): 0.423, guards=0, time=1.35s
Epoch 35: Current Alpha: 1.4836, Tau: 2.9743, Alive(hard): 0.425, guards=0, time=1.34s
Epoch 36: Current Alpha: 1.4826, Tau: 2.9728, Alive(hard): 0.422, guards=0, time=1.37s
Epoch 37: Current Alpha: 1.4816, Tau: 2.9712, Alive(hard): 0.420, guards=0, time=1.36s
