Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,LR,Time(s)
1,1.9474,22.83,1.9295,9.18,0.000500,1.35
2,1.7065,39.92,1.5693,59.18,0.000500,0.61
3,1.5344,50.64,1.3933,62.24,0.000500,0.61
4,1.3838,58.55,1.2931,63.27,0.000500,0.62
5,1.2983,63.27,1.2257,66.33,0.000500,0.61
6,1.2151,69.01,1.1600,69.39,0.000500,0.60
7,1.1741,68.75,1.1014,70.41,0.000500,0.59
8,1.1141,70.66,1.0479,70.41,0.000500,0.61
9,1.0554,74.11,1.0346,73.47,0.000500,0.63
10,0.9971,76.79,0.9648,81.63,0.000500,0.61
11,0.9637,78.83,0.9262,84.69,0.000500,0.62
12,0.9210,82.02,0.8872,85.71,0.000500,0.63
13,0.9016,84.95,0.8494,87.76,0.000500,0.61
14,0.8786,82.40,0.8081,89.80,0.000500,0.61
15,0.8314,86.61,0.8193,82.65,0.000500,0.60
16,0.8055,88.01,0.7770,87.76,0.000500,0.59
17,0.7905,89.41,0.7535,89.80,0.000500,0.59
18,0.7707,89.16,0.7489,87.76,0.000500,0.62
19,0.7703,89.16,0.7185,90.82,0.000500,0.61
20,0.7671,88.65,0.7003,88.78,0.000500,0.63
21,0.7331,91.84,0.6932,90.82,0.000500,0.63
22,0.7376,90.82,0.6874,90.82,0.000500,0.60
23,0.7000,93.62,0.6851,90.82,0.000500,0.63
24,0.7263,92.98,0.6505,91.84,0.000500,0.61
25,0.7000,93.62,0.6449,91.84,0.000500,0.63
26,0.7001,94.13,0.6520,93.88,0.000500,0.61
27,0.6707,94.90,0.6318,91.84,0.000500,0.63
28,0.6972,92.86,0.6194,92.86,0.000500,0.62
29,0.6727,93.49,0.6305,91.84,0.000500,0.61
30,0.6721,94.26,0.6237,92.86,0.000500,0.60
31,0.6643,95.03,0.6045,93.88,0.000500,0.60
32,0.6521,95.28,0.6074,94.90,0.000500,0.62
33,0.6547,94.77,0.5930,96.94,0.000500,0.61
34,0.6451,95.54,0.5946,95.92,0.000500,0.63
35,0.6350,96.05,0.5974,95.92,0.000500,0.63
36,0.6510,94.64,0.6038,94.90,0.000500,0.62
37,0.6483,95.15,0.5892,95.92,0.000500,0.61
38,0.6269,96.56,0.6028,94.90,0.000500,0.62
39,0.6248,95.41,0.5838,95.92,0.000250,0.62
40,0.6266,96.43,0.5847,95.92,0.000250,0.63
41,0.6204,97.07,0.5924,95.92,0.000250,0.60
42,0.6049,97.70,0.5927,94.90,0.000250,0.59
43,0.6093,97.07,0.5830,96.94,0.000250,0.62
44,0.6188,96.94,0.5879,95.92,0.000250,0.61
45,0.6096,97.45,0.5784,95.92,0.000125,0.60
46,0.6130,96.56,0.5785,95.92,0.000125,0.61
47,0.6060,97.83,0.5799,95.92,0.000125,0.61
48,0.6049,97.45,0.5813,95.92,0.000125,0.63
49,0.6070,96.30,0.5857,95.92,0.000125,0.61
50,0.5871,98.60,0.5751,95.92,0.000125,0.60
51,0.5970,97.96,0.5754,96.94,0.000063,0.62
52,0.5904,97.96,0.5719,96.94,0.000063,0.63
53,0.6050,97.45,0.5738,95.92,0.000063,0.64
